"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.03972,0.1532,0.108,328,0.00015322,0,0,0.00015322,0,0,0.31869,0.466,1,0.52811,0.426,99400,1.4477,0.892,0,nan,1,0,0,0.0005,0.0005
1.372e-05,0.039716,0.15351,0.10823,328,0.00015324,0,0,0.00015315,0,0,0.3186,0.46591,1,0.52789,0.42586,99400,1.4476,0.89177,0,nan,1,0.000237,0.000237,0.0005,0.0005
1.372e-05,0.039712,0.15382,0.10846,328,0.00015325,0,0,0.00015308,0,0,0.3185,0.46582,1,0.52767,0.42573,99400,1.4475,0.89154,0,nan,1,0.000474,0.000474,0.0005,0.0005
1.372e-05,0.039709,0.15413,0.10868,328,0.00015326,0,0,0.00015301,0,0,0.31841,0.46573,1,0.52746,0.42559,99400,1.4473,0.89132,0,nan,1,0.000711,0.000711,0.0005,0.0005
1.372e-05,0.039705,0.15444,0.10891,328,0.00015328,0,0,0.00015293,0,0,0.31832,0.46563,1,0.52724,0.42545,99400,1.4472,0.89109,0,nan,1,0.000948,0.000948,0.0005,0.0005
1.372e-05,0.039702,0.15475,0.10914,328,0.00015329,0,0,0.00015286,0,0,0.31823,0.46554,1,0.52702,0.42532,99400,1.4471,0.89086,0,nan,1,0.001185,0.001185,0.0005,0.0005
1.372e-05,0.039698,0.15506,0.10937,328,0.00015331,0,0,0.00015279,0,0,0.31814,0.46545,1,0.5268,0.42518,99400,1.4469,0.89063,0,nan,1,0.001422,0.001422,0.0005,0.0005
1.372e-05,0.039694,0.15537,0.1096,328,0.00015332,0,0,0.00015271,0,0,0.31805,0.46536,1,0.52658,0.42504,99400,1.4468,0.8904,0,nan,1,0.001659,0.001659,0.0005,0.0005
1.372e-05,0.039691,0.15568,0.10983,328,0.00015334,0,0,0.00015264,0,0,0.31795,0.46527,1,0.52636,0.4249,99400,1.4467,0.89017,0,nan,1,0.001896,0.001896,0.0005,0.0005
1.372e-05,0.039687,0.15599,0.11006,328,0.00015335,0,0,0.00015256,0,0,0.31786,0.46517,1,0.52614,0.42477,99400,1.4465,0.88994,0,nan,1,0.002133,0.002133,0.0005,0.0005
1.372e-05,0.039683,0.15631,0.11029,328,0.00015336,0,0,0.00015249,0,0,0.31777,0.46508,1,0.52593,0.42463,99400,1.4464,0.88971,0,nan,1,0.00237,0.00237,0.0005,0.0005
1.372e-05,0.03968,0.15662,0.11052,328,0.00015338,0,0,0.00015241,0,0,0.31767,0.46499,1,0.52571,0.42449,99400,1.4463,0.88948,0,nan,1,0.002607,0.002607,0.0005,0.0005
1.372e-05,0.039676,0.15693,0.11075,328,0.00015339,0,0,0.00015234,0,0,0.31758,0.4649,1,0.52548,0.42435,99400,1.4461,0.88925,0,nan,1,0.002844,0.002844,0.0005,0.0005
1.372e-05,0.039672,0.15725,0.11098,328,0.00015341,0,0,0.00015226,0,0,0.31749,0.4648,1,0.52526,0.42421,99400,1.446,0.88902,0,nan,1,0.003081,0.003081,0.0005,0.0005
1.372e-05,0.039668,0.15756,0.11121,328,0.00015342,0,0,0.00015219,0,0,0.3174,0.46471,1,0.52504,0.42408,99400,1.4459,0.88879,0,nan,1,0.003318,0.003318,0.0005,0.0005
1.372e-05,0.039665,0.15787,0.11145,328,0.00015344,0,0,0.00015212,0,0,0.3173,0.46462,1,0.52482,0.42394,99400,1.4457,0.88855,0,nan,1,0.003555,0.003555,0.0005,0.0005
1.372e-05,0.039661,0.15819,0.11168,328,0.00015345,0,0,0.00015204,0,0,0.31721,0.46452,1,0.5246,0.4238,99400,1.4456,0.88832,0,nan,1,0.003792,0.003792,0.0005,0.0005
1.372e-05,0.039657,0.15851,0.11191,328,0.00015346,0,0,0.00015197,0,0,0.31711,0.46443,1,0.52438,0.42366,99400,1.4454,0.88809,0,nan,1,0.004029,0.004029,0.0005,0.0005
1.372e-05,0.039654,0.15882,0.11215,328,0.00015348,0,0,0.00015189,0,0,0.31702,0.46433,1,0.52416,0.42352,99400,1.4453,0.88785,0,nan,1,0.004266,0.004266,0.0005,0.0005
1.372e-05,0.03965,0.15914,0.11238,328,0.00015349,0,0,0.00015182,0,0,0.31693,0.46424,1,0.52393,0.42338,99400,1.4452,0.88762,0,nan,1,0.004503,0.004503,0.0005,0.0005
