"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.03972,0.1532,0.108,328,0,0,0,0.00040806,0,0,0.31869,0.466,1,0.52811,0.426,99400,1.4477,0.892,0,nan,1,0,0,0.0005,0.0005
1.372e-05,0.039708,0.15405,0.10863,328,-2.1698e-11,0,0,0.00040592,0,0,0.31837,0.46567,1,0.52758,0.4257,99400,1.4473,0.89137,0,nan,1,0.000237,0.000237,0.0005,0.0005
1.372e-05,0.039696,0.15489,0.10925,328,-4.3397e-11,0,0,0.00040378,0,0,0.31805,0.46534,1,0.52706,0.4254,99400,1.4469,0.89075,0,nan,1,0.000474,0.000474,0.0005,0.0005
1.372e-05,0.039685,0.15573,0.10988,328,-6.5095e-11,0,0,0.00040164,0,0,0.31774,0.46502,1,0.52653,0.4251,99400,1.4464,0.89012,0,nan,1,0.000711,0.000711,0.0005,0.0005
1.372e-05,0.039673,0.15658,0.11051,328,-8.6794e-11,0,0,0.00039951,0,0,0.31742,0.46469,1,0.52601,0.4248,99400,1.446,0.88949,0,nan,1,0.000948,0.000948,0.0005,0.0005
1.372e-05,0.039661,0.15742,0.11114,328,-1.0849e-10,0,0,0.00039737,0,0,0.3171,0.46436,1,0.52548,0.4245,99400,1.4456,0.88886,0,nan,1,0.001185,0.001185,0.0005,0.0005
1.372e-05,0.03965,0.15826,0.11176,328,-1.2969e-10,0,0,0.0003953,0,0,0.31678,0.46403,1,0.52495,0.4242,99400,1.4452,0.88824,0,nan,1,0.001422,0.001422,0.0005,0.0005
1.372e-05,0.039638,0.15911,0.11239,328,-1.5088e-10,0,0,0.00039324,0,0,0.31647,0.4637,1,0.52443,0.4239,99400,1.4447,0.88761,0,nan,1,0.001659,0.001659,0.0005,0.0005
1.372e-05,0.039626,0.15995,0.11302,328,-1.7207e-10,0,0,0.00039118,0,0,0.31615,0.46338,1,0.5239,0.4236,99400,1.4443,0.88698,0,nan,1,0.001896,0.001896,0.0005,0.0005
1.372e-05,0.039615,0.16079,0.11365,328,-1.9327e-10,0,0,0.00038911,0,0,0.31583,0.46305,1,0.52338,0.4233,99400,1.4439,0.88635,0,nan,1,0.002133,0.002133,0.0005,0.0005
1.372e-05,0.039603,0.16164,0.11428,328,-2.1446e-10,0,0,0.00038705,0,0,0.31551,0.46272,1,0.52285,0.423,99400,1.4435,0.88572,0,nan,1,0.00237,0.00237,0.0005,0.0005
1.372e-05,0.039591,0.16248,0.11491,328,-2.3954e-10,0,0,0.00038508,0,0,0.3152,0.46239,1,0.52232,0.4227,99400,1.443,0.88509,0,nan,1,0.002607,0.002607,0.0005,0.0005
1.372e-05,0.03958,0.16332,0.11554,328,-2.648e-10,0,0,0.00038311,0,0,0.31488,0.46206,1,0.5218,0.4224,99400,1.4426,0.88446,0,nan,1,0.002844,0.002844,0.0005,0.0005
1.372e-05,0.039568,0.16417,0.11617,328,-2.9006e-10,0,0,0.00038114,0,0,0.31456,0.46173,1,0.52127,0.4221,99400,1.4422,0.88383,0,nan,1,0.003081,0.003081,0.0005,0.0005
1.372e-05,0.039556,0.16501,0.1168,328,-3.1532e-10,0,0,0.00037917,0,0,0.31425,0.4614,1,0.52075,0.4218,99400,1.4418,0.8832,0,nan,1,0.003318,0.003318,0.0005,0.0005
1.372e-05,0.039545,0.16585,0.11743,328,-3.4058e-10,0,0,0.00037721,0,0,0.31393,0.46107,1,0.52022,0.42149,99400,1.4413,0.88257,0,nan,1,0.003555,0.003555,0.0005,0.0005
1.372e-05,0.039533,0.1667,0.11807,328,-3.1933e-10,0,0,0.00037533,0,0,0.31361,0.46074,1,0.51969,0.42119,99400,1.4409,0.88193,0,nan,1,0.003792,0.003792,0.0005,0.0005
1.372e-05,0.039521,0.16754,0.1187,328,-2.9494e-10,0,0,0.00037346,0,0,0.31329,0.46041,1,0.51917,0.42089,99400,1.4405,0.8813,0,nan,1,0.004029,0.004029,0.0005,0.0005
1.372e-05,0.03951,0.16838,0.11933,328,-2.7055e-10,0,0,0.00037159,0,0,0.31298,0.46008,1,0.51864,0.42059,99400,1.4401,0.88067,0,nan,1,0.004266,0.004266,0.0005,0.0005
1.372e-05,0.039498,0.16922,0.11996,328,-2.4616e-10,0,0,0.00036972,0,0,0.31266,0.45975,1,0.51812,0.42029,99400,1.4396,0.88004,0,nan,1,0.004503,0.004503,0.0005,0.0005
1.372e-05,0.039486,0.17007,0.1206,328,-2.2178e-10,0,0,0.00036785,0,0,0.31234,0.45942,1,0.51759,0.41998,99400,1.4392,0.8794,0,nan,1,0.00474,0.00474,0.0005,0.0005
1.372e-05,0.039475,0.17091,0.12123,328,-1.9989e-10,0,0,0.00036607,0,0,0.31202,0.45909,1,0.51707,0.41968,99400,1.4388,0.87877,0,nan,1,0.004977,0.004977,0.0005,0.0005
1.372e-05,0.039463,0.17175,0.12187,328,-1.7824e-10,0,0,0.00036429,0,0,0.31171,0.45876,1,0.51654,0.41938,99400,1.4384,0.87813,0,nan,1,0.005214,0.005214,0.0005,0.0005
1.372e-05,0.039451,0.1726,0.1225,328,-1.5659e-10,0,0,0.00036251,0,0,0.31139,0.45842,1,0.51601,0.41907,99400,1.4379,0.8775,0,nan,1,0.005451,0.005451,0.0005,0.0005
1.372e-05,0.03944,0.17344,0.12314,328,-1.3494e-10,0,0,0.00036073,0,0,0.31107,0.45809,1,0.51549,0.41877,99400,1.4375,0.87686,0,nan,1,0.005688,0.005688,0.0005,0.0005
1.372e-05,0.039428,0.17428,0.12377,328,-1.1329e-10,0,0,0.00035895,0,0,0.31075,0.45776,1,0.51496,0.41847,99400,1.4371,0.87623,0,nan,1,0.005925,0.005925,0.0005,0.0005
1.372e-05,0.039416,0.17513,0.12441,328,-1.236e-10,0,0,0.00035725,0,0,0.31044,0.45743,1,0.51444,0.41816,99400,1.4367,0.87559,0,nan,1,0.006162,0.006162,0.0005,0.0005
1.372e-05,0.039405,0.17597,0.12504,328,-1.3769e-10,0,0,0.00035555,0,0,0.31012,0.4571,1,0.51391,0.41786,99400,1.4362,0.87496,0,nan,1,0.006399,0.006399,0.0005,0.0005
1.372e-05,0.039393,0.17681,0.12568,328,-1.5177e-10,0,0,0.00035386,0,0,0.3098,0.45676,1,0.51338,0.41756,99400,1.4358,0.87432,0,nan,1,0.006636,0.006636,0.0005,0.0005
1.372e-05,0.039381,0.17766,0.12632,328,-1.6585e-10,0,0,0.00035216,0,0,0.30948,0.45643,1,0.51286,0.41725,99400,1.4354,0.87368,0,nan,1,0.006873,0.006873,0.0005,0.0005
1.372e-05,0.03937,0.1785,0.12695,328,-1.7994e-10,0,0,0.00035047,0,0,0.30917,0.4561,1,0.51233,0.41695,99400,1.435,0.87305,0,nan,1,0.00711,0.00711,0.0005,0.0005
1.372e-05,0.039358,0.17934,0.12759,328,-1.8627e-10,0,0,0.00034884,0,0,0.30885,0.45577,1,0.51181,0.41664,99400,1.4345,0.87241,0,nan,1,0.007347,0.007347,0.0005,0.0005
1.372e-05,0.039346,0.18019,0.12823,328,-1.9148e-10,0,0,0.00034723,0,0,0.30853,0.45543,1,0.51128,0.41634,99400,1.4341,0.87177,0,nan,1,0.007584,0.007584,0.0005,0.0005
1.372e-05,0.039335,0.18103,0.12887,328,-1.9669e-10,0,0,0.00034561,0,0,0.30822,0.4551,1,0.51075,0.41603,99400,1.4337,0.87113,0,nan,1,0.007821,0.007821,0.0005,0.0005
1.372e-05,0.039323,0.18187,0.12951,328,-2.019e-10,0,0,0.000344,0,0,0.3079,0.45477,1,0.51023,0.41573,99400,1.4333,0.87049,0,nan,1,0.008058,0.008058,0.0005,0.0005
1.372e-05,0.039311,0.18272,0.13014,328,-2.071e-10,0,0,0.00034238,0,0,0.30758,0.45443,1,0.5097,0.41542,99400,1.4328,0.86986,0,nan,1,0.008295,0.008295,0.0005,0.0005
1.372e-05,0.0393,0.18356,0.13078,328,-2.3986e-10,0,0,0.00034083,0,0,0.30726,0.4541,1,0.50918,0.41512,99400,1.4324,0.86922,0,nan,1,0.008532,0.008532,0.0005,0.0005
1.372e-05,0.039288,0.1844,0.13142,328,-2.7739e-10,0,0,0.00033928,0,0,0.30695,0.45376,1,0.50865,0.41481,99400,1.432,0.86858,0,nan,1,0.008769,0.008769,0.0005,0.0005
1.372e-05,0.039276,0.18525,0.13206,328,-3.1492e-10,0,0,0.00033774,0,0,0.30663,0.45343,1,0.50813,0.41451,99400,1.4316,0.86794,0,nan,1,0.009006,0.009006,0.0005,0.0005
1.372e-05,0.039265,0.18609,0.1327,328,-3.5245e-10,0,0,0.0003362,0,0,0.30631,0.45309,1,0.5076,0.4142,99400,1.4311,0.8673,0,nan,1,0.009243,0.009243,0.0005,0.0005
1.372e-05,0.039253,0.18693,0.13334,328,-3.8998e-10,0,0,0.00033466,0,0,0.30599,0.45276,1,0.50707,0.4139,99400,1.4307,0.86666,0,nan,1,0.00948,0.00948,0.0005,0.0005
1.372e-05,0.039241,0.18778,0.13399,328,-4.0869e-10,0,0,0.00033317,0,0,0.30568,0.45242,1,0.50655,0.41359,99400,1.4303,0.86601,0,nan,1,0.009717,0.009717,0.0005,0.0005
1.372e-05,0.03923,0.18862,0.13463,328,-4.2359e-10,0,0,0.0003317,0,0,0.30536,0.45209,1,0.50602,0.41328,99400,1.4299,0.86537,0,nan,1,0.009954,0.009954,0.0005,0.0005
1.372e-05,0.039218,0.18946,0.13527,328,-4.3849e-10,0,0,0.00033022,0,0,0.30504,0.45175,1,0.5055,0.41298,99400,1.4294,0.86473,0,nan,1,0.010191,0.010191,0.0005,0.0005
1.372e-05,0.039206,0.19031,0.13591,328,-4.5339e-10,0,0,0.00032875,0,0,0.30472,0.45142,1,0.50497,0.41267,99400,1.429,0.86409,0,nan,1,0.010428,0.010428,0.0005,0.0005
1.372e-05,0.039195,0.19115,0.13656,328,-4.6828e-10,0,0,0.00032728,0,0,0.30441,0.45108,1,0.50444,0.41236,99400,1.4286,0.86344,0,nan,1,0.010665,0.010665,0.0005,0.0005
1.372e-05,0.039183,0.19199,0.1372,328,-4.6252e-10,0,0,0.00032585,0,0,0.30409,0.45075,1,0.50392,0.41206,99400,1.4282,0.8628,0,nan,1,0.010902,0.010902,0.0005,0.0005
1.372e-05,0.039171,0.19283,0.13784,328,-4.5191e-10,0,0,0.00032444,0,0,0.30377,0.45041,1,0.50339,0.41175,99400,1.4277,0.86216,0,nan,1,0.011139,0.011139,0.0005,0.0005
1.372e-05,0.03916,0.19368,0.13849,328,-4.4131e-10,0,0,0.00032303,0,0,0.30346,0.45007,1,0.50287,0.41144,99400,1.4273,0.86151,0,nan,1,0.011376,0.011376,0.0005,0.0005
1.372e-05,0.039148,0.19452,0.13913,328,-4.307e-10,0,0,0.00032162,0,0,0.30314,0.44974,1,0.50234,0.41113,99400,1.4269,0.86087,0,nan,1,0.011613,0.011613,0.0005,0.0005
1.372e-05,0.039136,0.19536,0.13978,328,-4.201e-10,0,0,0.00032021,0,0,0.30282,0.4494,1,0.50181,0.41082,99400,1.4265,0.86022,0,nan,1,0.01185,0.01185,0.0005,0.0005
1.372e-05,0.039125,0.19621,0.14042,328,-4.2837e-10,0,0,0.00031885,0,0,0.3025,0.44906,1,0.50129,0.41052,99400,1.426,0.85958,0,nan,1,0.012087,0.012087,0.0005,0.0005
1.372e-05,0.039113,0.19705,0.14107,328,-4.417e-10,0,0,0.0003175,0,0,0.30219,0.44873,1,0.50076,0.41021,99400,1.4256,0.85893,0,nan,1,0.012324,0.012324,0.0005,0.0005
1.372e-05,0.039101,0.19789,0.14171,328,-4.5502e-10,0,0,0.00031615,0,0,0.30187,0.44839,1,0.50024,0.4099,99400,1.4252,0.85829,0,nan,1,0.012561,0.012561,0.0005,0.0005
1.372e-05,0.039089,0.19874,0.14236,328,-4.6835e-10,0,0,0.0003148,0,0,0.30155,0.44805,1,0.49971,0.40959,99400,1.4247,0.85764,0,nan,1,0.012798,0.012798,0.0005,0.0005
1.372e-05,0.039078,0.19958,0.143,328,-4.8168e-10,0,0,0.00031345,0,0,0.30123,0.44771,1,0.49919,0.40928,99400,1.4243,0.857,0,nan,1,0.013035,0.013035,0.0005,0.0005
1.372e-05,0.039066,0.20042,0.14365,328,-4.6163e-10,0,0,0.00031214,0,0,0.30092,0.44737,1,0.49866,0.40897,99400,1.4239,0.85635,0,nan,1,0.013272,0.013272,0.0005,0.0005
1.372e-05,0.039054,0.20127,0.1443,328,-4.315e-10,0,0,0.00031084,0,0,0.3006,0.44704,1,0.49813,0.40866,99400,1.4235,0.8557,0,nan,1,0.013509,0.013509,0.0005,0.0005
1.372e-05,0.039043,0.20211,0.14495,328,-4.0137e-10,0,0,0.00030955,0,0,0.30028,0.4467,1,0.49761,0.40835,99400,1.423,0.85505,0,nan,1,0.013746,0.013746,0.0005,0.0005
