z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0;0.31869;0.31869;0.52811;0.52811;0.1532;0.1532;0.074071386;0.2846498;0.048793148;0.459414989;0.073471277;0.251677695
0.000237;0.31837;0.3186;0.52758;0.52789;0.15405;0.15351;0.09735846;0.34148232;0.074127661;0.459629143;0.095832012;0.23580585
0.000474;0.31805;0.3185;0.52706;0.52767;0.15489;0.15382;0.121495729;0.403393878;0.096754662;0.430234613;0.121717141;0.225035648
0.000711;0.31774;0.31841;0.52653;0.52746;0.15573;0.15413;0.148218797;0.511819263;0.121051595;0.383948027;0.148133849;0.186374758
0.000948;0.31742;0.31832;0.52601;0.52724;0.15658;0.15444;0.17393284;0.599103405;0.147706967;0.30725027;0.173155458;0.158691086
0.001185;0.3171;0.31823;0.52548;0.52702;0.15742;0.15475;0.195317981;0.716782062;0.173399;0.249986467;0.195214711;0.125065213
0.001422;0.31678;0.31814;0.52495;0.5268;0.15826;0.15506;0.239411146;1.002023763;0.195123457;0.169020486;;
0.001659;0.31647;0.31805;0.52443;0.52658;0.15911;0.15537;;;;;;
0.001896;0.31615;0.31795;0.5239;0.52636;0.15995;0.15568;;;;;;
0.002133;0.31583;0.31786;0.52338;0.52614;0.16079;0.15599;;;;;;
0.00237;0.31551;0.31777;0.52285;0.52593;0.16164;0.15631;;;;;;
0.002607;0.3152;0.31767;0.52232;0.52571;0.16248;0.15662;;;;;;
0.002844;0.31488;0.31758;0.5218;0.52548;0.16332;0.15693;;;;;;
0.003081;0.31456;0.31749;0.52127;0.52526;0.16417;0.15725;;;;;;
0.003318;0.31425;0.3174;0.52075;0.52504;0.16501;0.15756;;;;;;
0.003555;0.31393;0.3173;0.52022;0.52482;0.16585;0.15787;;;;;;
0.003792;0.31361;0.31721;0.51969;0.5246;0.1667;0.15819;;;;;;
0.004029;0.31329;0.31711;0.51917;0.52438;0.16754;0.15851;;;;;;
0.004266;0.31298;0.31702;0.51864;0.52416;0.16838;0.15882;;;;;;
0.004503;0.31266;0.31693;0.51812;0.52393;0.16922;0.15914;;;;;;
0.00474;0.31234;0.31683;0.51759;0.52371;0.17007;0.15946;;;;;;
0.004977;0.31202;0.31674;0.51707;0.52349;0.17091;0.15977;;;;;;
0.005214;0.31171;0.31664;0.51654;0.52326;0.17175;0.16009;;;;;;
0.005451;0.31139;0.31655;0.51601;0.52304;0.1726;0.16041;;;;;;
0.005688;0.31107;0.31645;0.51549;0.52282;0.17344;0.16073;;;;;;
0.005925;0.31075;0.31636;0.51496;0.52259;0.17428;0.16105;;;;;;
0.006162;0.31044;0.31626;0.51444;0.52237;0.17513;0.16137;;;;;;
0.006399;0.31012;0.31617;0.51391;0.52214;0.17597;0.16169;;;;;;
0.006636;0.3098;0.31607;0.51338;0.52192;0.17681;0.16201;;;;;;
0.006873;0.30948;0.31597;0.51286;0.52169;0.17766;0.16233;;;;;;
0.00711;0.30917;0.31588;0.51233;0.52147;0.1785;0.16265;;;;;;
0.007347;0.30885;0.31578;0.51181;0.52124;0.17934;0.16298;;;;;;
0.007584;0.30853;0.31569;0.51128;0.52101;0.18019;0.1633;;;;;;
0.007821;0.30822;0.31559;0.51075;0.52079;0.18103;0.16363;;;;;;
0.008058;0.3079;0.31549;0.51023;0.52056;0.18187;0.16395;;;;;;
0.008295;0.30758;0.3154;0.5097;0.52033;0.18272;0.16427;;;;;;
0.008532;0.30726;0.3153;0.50918;0.5201;0.18356;0.1646;;;;;;
0.008769;0.30695;0.3152;0.50865;0.51988;0.1844;0.16492;;;;;;
0.009006;0.30663;0.3151;0.50813;0.51965;0.18525;0.16525;;;;;;
0.009243;0.30631;0.31501;0.5076;0.51942;0.18609;0.16558;;;;;;
0.00948;0.30599;0.31491;0.50707;0.51919;0.18693;0.1659;;;;;;
0.009717;0.30568;0.31481;0.50655;0.51896;0.18778;0.16623;;;;;;
0.009954;0.30536;0.31471;0.50602;0.51873;0.18862;0.16656;;;;;;
0.010191;0.30504;0.31461;0.5055;0.5185;0.18946;0.16689;;;;;;
0.010428;0.30472;0.31451;0.50497;0.51827;0.19031;0.16722;;;;;;
0.010665;0.30441;0.31442;0.50444;0.51804;0.19115;0.16755;;;;;;
0.010902;0.30409;0.31432;0.50392;0.51781;0.19199;0.16788;;;;;;
0.011139;0.30377;0.31422;0.50339;0.51758;0.19283;0.16821;;;;;;
0.011376;0.30346;0.31412;0.50287;0.51734;0.19368;0.16854;;;;;;
0.011613;0.30314;0.31402;0.50234;0.51711;0.19452;0.16887;;;;;;
0.01185;0.30282;0.31392;0.50181;0.51688;0.19536;0.1692;;;;;;
0.012087;0.3025;0.31382;0.50129;0.51665;0.19621;0.16953;;;;;;
0.012324;0.30219;0.31372;0.50076;0.51641;0.19705;0.16987;;;;;;
0.012561;0.30187;0.31362;0.50024;0.51618;0.19789;0.1702;;;;;;
0.012798;0.30155;0.31352;0.49971;0.51595;0.19874;0.17054;;;;;;
0.013035;0.30123;0.31342;0.49919;0.51571;0.19958;0.17087;;;;;;
0.013272;0.30092;0.31332;0.49866;0.51548;0.20042;0.17121;;;;;;
0.013509;0.3006;0.31322;0.49813;0.51524;0.20127;0.17154;;;;;;
0.013746;0.30028;0.31311;0.49761;0.51501;0.20211;0.17188;;;;;;
0.013983;0.29996;0.31301;0.49708;0.51477;0.20295;0.17222;;;;;;
0.01422;0.29965;0.31291;0.49656;0.51454;0.2038;0.17255;;;;;;
0.014457;0.29933;0.31281;0.49603;0.5143;0.20464;0.17289;;;;;;
0.014694;0.29901;0.31271;0.4955;0.51406;0.20548;0.17323;;;;;;
0.014931;0.2987;0.31261;0.49498;0.51383;0.20633;0.17357;;;;;;
0.015168;0.29838;0.3125;0.49445;0.51359;0.20717;0.17391;;;;;;
0.015405;0.29806;0.3124;0.49393;0.51335;0.20801;0.17425;;;;;;
0.015642;0.29774;0.3123;0.4934;0.51311;0.20886;0.17459;;;;;;
0.015879;0.29743;0.3122;0.49287;0.51288;0.2097;0.17493;;;;;;
0.016116;0.29711;0.31209;0.49235;0.51264;0.21054;0.17527;;;;;;
0.016353;0.29679;0.31199;0.49182;0.5124;0.21139;0.17561;;;;;;
0.01659;0.29647;0.31189;0.4913;0.51216;0.21223;0.17595;;;;;;
0.016827;0.29616;0.31178;0.49077;0.51192;0.21307;0.1763;;;;;;
0.017064;0.29584;0.31168;0.49025;0.51168;0.21392;0.17664;;;;;;
0.017301;0.29552;0.31157;0.48972;0.51144;0.21476;0.17699;;;;;;
0.017538;0.2952;0.31147;0.48919;0.5112;0.2156;0.17733;;;;;;
0.017775;0.29489;0.31137;0.48867;0.51096;0.21645;0.17768;;;;;;
0.018012;0.29457;0.31126;0.48814;0.51072;0.21729;0.17802;;;;;;
0.018249;0.29425;0.31116;0.48762;0.51047;0.21813;0.17837;;;;;;
0.018486;0.29394;0.31105;0.48709;0.51023;0.21897;0.17872;;;;;;
0.018723;0.29362;0.31095;0.48656;0.50999;0.21982;0.17906;;;;;;
0.01896;0.2933;0.31084;0.48604;0.50975;0.22066;0.17941;;;;;;
0.019197;0.29298;0.31074;0.48551;0.5095;0.2215;0.17976;;;;;;
