phi,		eta
0.080203,	0.000000
0.080203,	1.005302
0.113729,	1.009984
0.139020,	1.014748
0.160032,	1.019611
0.178295,	1.024546
0.194596,	1.029530
0.209383,	1.034535
0.222957,	1.039546
0.235536,	1.044577
0.235536,	1.044577
0.296786,	28.099255
0.297672,	24.948516
0.300096,	22.583696
0.300459,	32.641588
0.300459,	32.641588
0.300500,	32.672231
0.300541,	32.702943
0.300547,	32.802032
0.300599,	32.829580
0.300651,	32.857391
0.300830,	32.829262
0.300870,	32.865171
0.300910,	32.897361
0.300942,	33.088890
0.300953,	32.930379
0.301000,	32.958962
0.301047,	32.989750
0.301458,	32.864605
0.301511,	32.893315
0.301564,	32.922287
0.301616,	32.952013
0.301668,	33.285531
0.301668,	32.981895
0.301719,	33.319082
0.301721,	33.011929
0.301770,	33.352759
0.301774,	33.042112
0.301823,	33.386563
0.301872,	33.052680
0.301875,	33.420490
0.301926,	33.083052
0.301929,	33.454539
0.301983,	33.488705
0.302096,	33.427178
0.302143,	33.592551
0.302151,	33.461174
0.302155,	20.905638
0.302196,	33.627329
0.302251,	33.662087
0.302306,	33.696889
0.302362,	33.731777
0.302419,	33.766783
0.302613,	33.671140
0.302659,	33.845662
0.302671,	33.708626
0.302713,	33.883839
0.302729,	33.746210
0.302768,	33.922301
0.302822,	33.960929
0.302877,	33.999711
0.303096,	34.037227
0.303163,	34.072278
0.303234,	34.106295
0.303306,	34.140437
0.303324,	34.276796
0.303378,	34.174702
0.303394,	34.316396
0.303438,	34.215266
0.303464,	34.355994
0.303536,	34.395617
0.303608,	34.435288
0.303682,	34.475031
0.303756,	34.514868
0.303937,	34.502050
0.304011,	34.545399
0.304087,	34.588346
0.304165,	34.630995
0.304224,	34.703275
0.304299,	34.742458
0.304375,	34.782030
0.304454,	34.822203
0.304534,	34.863170
0.304616,	34.904711
0.304700,	34.946362
0.304779,	34.989943
0.304946,	35.227683
0.304975,	34.955868
0.305030,	35.272703
0.305060,	34.999554
0.305116,	35.317990
0.305202,	35.363553
0.305290,	35.409402
0.305379,	35.455547
0.305447,	35.437478
0.305488,	19.299877
0.305540,	35.482280
0.305634,	35.527296
0.305801,	35.599561
0.305898,	35.645775
0.305995,	35.692255
0.306094,	35.739008
0.306194,	35.786041
0.306296,	35.833361
0.306399,	35.880974
0.306504,	35.928887
