# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.000119048     	9.99976756e-01	1.00000000e+00	9.99999993e-01	1.00000000e+00	N/A
0.000260204     	6.27297891e-01	5.26395196e-01	1.65007680e-01	3.05299280e-01	N/A
0.000428132     	2.62538483e-01	5.11639665e-01	3.22531356e-02	1.79121840e-01	N/A
0.000627546     	3.83039728e-01	4.77224054e-01	1.47805030e-02	1.27448263e-01	N/A
0.000861857     	6.10286526e-02	3.40002989e-01	2.15604164e-02	9.96786716e-02	N/A
0.00113877      	1.12140070e-01	3.06836553e-02	8.23145324e-02	8.34676524e-02	N/A
0.00146696      	3.61001752e-02	5.40378567e-01	3.11805123e-03	7.27368869e-02	N/A
0.00185483      	3.92126699e-02	6.37286106e-01	1.60414286e-02	6.47248431e-02	N/A
0.00230734      	1.89437610e-02	1.92144432e-01	1.63192638e-02	5.78122585e-02	N/A
0.00282018      	2.68512675e-02	3.72909653e-01	8.85339672e-03	5.09022046e-02	N/A
0.0034185       	3.12351075e-02	1.32821600e-01	3.80590182e-02	4.81997223e-02	N/A
0.00407665      	3.17391489e-02	3.01474949e-01	8.09975958e-03	4.35693058e-02	N/A
0.00481707      	3.44077932e-02	9.97280575e-02	3.47005682e-02	4.08269927e-02	N/A
0.00568089      	3.83879710e-02	1.27440226e-01	7.06833101e-03	3.98968259e-02	N/A
0.00654471      	3.62199729e-02	6.16470625e-02	1.46466515e-02	3.36789323e-02	N/A
0.00740853      	3.42230984e-02	4.23251056e-02	1.85629041e-02	2.89803110e-02	N/A
0.00827236      	3.24602591e-02	3.61838251e-02	9.30566382e-03	2.52089357e-02	N/A
0.00913618      	3.07257271e-02	3.84899347e-02	5.07506008e-03	2.22015184e-02	N/A
0.01            	2.90863218e-02	3.07258325e-02	4.19893591e-03	1.97850922e-02	N/A
0.011           	3.18670907e-02	3.06024754e-02	6.10713887e-03	2.05059785e-02	N/A
0.012125        	3.36694549e-02	3.20910486e-02	3.73648366e-03	2.05269509e-02	N/A
0.01325         	3.14535175e-02	2.88362568e-02	3.56840925e-03	1.82609212e-02	N/A
0.014375        	2.93866303e-02	2.57182606e-02	3.21079022e-03	1.63830924e-02	N/A
0.0155          	2.75251365e-02	2.34180800e-02	2.84277305e-03	1.48126646e-02	N/A
0.016625        	2.58363252e-02	2.15114798e-02	2.51411406e-03	1.34928487e-02	N/A
0.01775         	2.42782676e-02	1.98214477e-02	2.31337138e-03	1.23640299e-02	N/A
0.018875        	2.28838290e-02	1.83574539e-02	2.13095831e-03	1.13901217e-02	N/A
0.02            	2.16117200e-02	1.70886378e-02	1.99719903e-03	1.05529277e-02	N/A
0.02125         	2.27044496e-02	1.76772841e-02	2.79244733e-03	1.08879364e-02	N/A
0.0225          	2.14246563e-02	1.64616425e-02	2.01447083e-03	1.01050282e-02	N/A
0.02375         	2.02658940e-02	1.53863065e-02	1.98620366e-03	9.42029542e-03	N/A
0.025           	1.92494460e-02	1.44309218e-02	1.77649171e-03	8.81235572e-03	N/A
0.02625         	1.83257230e-02	1.35738759e-02	1.62559146e-03	8.26406734e-03	N/A
0.0275          	1.74943239e-02	1.28000975e-02	1.51518538e-03	7.76356353e-03	N/A
0.02875         	1.67505678e-02	1.20990828e-02	1.41432455e-03	7.31404545e-03	N/A
0.03            	1.60805046e-02	1.14612238e-02	1.32345013e-03	6.90903501e-03	N/A
0.03125         	1.54681129e-02	1.08799069e-02	1.25879197e-03	6.54226877e-03	N/A
0.0325          	1.49173528e-02	1.03511165e-02	1.21683171e-03	6.20923612e-03	N/A
0.03375         	1.44265603e-02	9.86485910e-03	1.12372533e-03	5.90561288e-03	N/A
0.035           	1.39615537e-02	9.41267834e-03	1.06549487e-03	5.62947585e-03	N/A
0.03625         	1.35365332e-02	8.99599733e-03	1.04150842e-03	5.37764312e-03	N/A
0.0375          	1.31588471e-02	8.61185732e-03	9.66077632e-04	5.14809206e-03	N/A
0.03875         	1.28042652e-02	8.25532028e-03	9.30476415e-04	4.93703002e-03	N/A
