# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.000119048     	9.99976756e-01	1.00000000e+00	9.99999993e-01	N/A	1.00000000e+00
0.000260204     	6.35603381e-01	5.54713186e-01	1.39113238e-01	N/A	3.97586250e-01
0.000428132     	2.15193002e-01	5.34056654e-01	2.45678233e-02	N/A	2.06631514e-01
0.000627546     	3.51938217e-01	4.66942594e-01	1.61987732e-02	N/A	1.31641033e-01
0.000861857     	3.69572361e-02	2.48750468e-01	4.19061657e-02	N/A	1.13265782e-01
0.00113877      	7.26531332e-02	3.00796354e-01	1.40358646e-02	N/A	9.43409283e-02
0.00146696      	4.21141126e-02	6.34709127e-01	9.30369937e-03	N/A	7.29405604e-02
0.00185483      	2.70276457e-02	4.13950867e-01	5.08127326e-02	N/A	7.21189870e-02
0.00230734      	2.06913348e-02	3.78882948e-01	3.10021926e-03	N/A	6.11211244e-02
0.00282018      	2.76341473e-02	2.53219995e-01	1.75777387e-02	N/A	5.32362773e-02
0.0034185       	3.05535383e-02	2.15213170e-01	1.74446537e-03	N/A	4.98164663e-02
0.00407665      	3.19222118e-02	1.90798850e-01	1.72960184e-02	N/A	4.43291484e-02
0.00481707      	3.45527967e-02	1.08645611e-01	2.95752122e-03	N/A	4.13489346e-02
0.00568089      	3.83584396e-02	8.84785025e-02	1.18593474e-02	N/A	4.00902650e-02
0.00654471      	3.62244644e-02	4.51745385e-02	1.65499939e-02	N/A	3.37323119e-02
0.00740853      	3.42137146e-02	3.85214057e-02	1.68326049e-02	N/A	2.90093758e-02
0.00827236      	3.24334537e-02	4.17876519e-02	4.69494285e-03	N/A	2.51937437e-02
0.00913618      	3.06890314e-02	3.44258293e-02	4.44430090e-03	N/A	2.21941470e-02
0.01            	2.90605707e-02	2.98180371e-02	4.34857636e-03	N/A	1.97711116e-02
0.011           	3.18481774e-02	3.18731823e-02	4.01847875e-03	N/A	2.04935932e-02
0.012125        	3.36908343e-02	3.21569843e-02	3.88571034e-03	N/A	2.05113576e-02
0.01325         	3.14637192e-02	2.85336819e-02	3.44956427e-03	N/A	1.82486004e-02
0.014375        	2.93622363e-02	2.57635524e-02	3.19619491e-03	N/A	1.63737446e-02
0.0155          	2.75034701e-02	2.34685211e-02	2.79799218e-03	N/A	1.48058400e-02
0.016625        	2.58209657e-02	2.15012522e-02	2.51521847e-03	N/A	1.34879047e-02
0.01775         	2.42657776e-02	1.98191530e-02	2.31003422e-03	N/A	1.23604862e-02
0.018875        	2.28740638e-02	1.83635246e-02	2.13045751e-03	N/A	1.13875768e-02
0.02            	2.16037986e-02	1.70908769e-02	1.99492289e-03	N/A	1.05510573e-02
0.02125         	2.26972982e-02	1.76780320e-02	2.78011596e-03	N/A	1.08858208e-02
0.0225          	2.14268636e-02	1.64609474e-02	2.00893477e-03	N/A	1.01032692e-02
0.02375         	2.02609111e-02	1.53871959e-02	1.97339042e-03	N/A	9.41896030e-03
0.025           	1.92443848e-02	1.44320815e-02	1.75851849e-03	N/A	8.81135598e-03
0.02625         	1.83221276e-02	1.35744689e-02	1.60369544e-03	N/A	8.26332617e-03
0.0275          	1.74913267e-02	1.28005010e-02	1.48973149e-03	N/A	7.76300482e-03
0.02875         	1.67480325e-02	1.20993991e-02	1.38525572e-03	N/A	7.31362931e-03
0.03            	1.60783633e-02	1.14614343e-02	1.29240294e-03	N/A	6.90872260e-03
0.03125         	1.54661176e-02	1.08800308e-02	1.22390439e-03	N/A	6.54201420e-03
0.0325          	1.49157447e-02	1.03511980e-02	1.18650166e-03	N/A	6.20903127e-03
0.03375         	1.44250944e-02	9.86490273e-03	1.09576091e-03	N/A	5.90543409e-03
0.035           	1.39601369e-02	9.41274280e-03	1.04048071e-03	N/A	5.62931578e-03
0.03625         	1.35352086e-02	8.99604934e-03	1.01890741e-03	N/A	5.37748294e-03
0.0375          	1.31576084e-02	8.61188517e-03	9.45474420e-04	N/A	5.14791715e-03
0.03875         	1.28030796e-02	8.25533750e-03	9.09462258e-04	N/A	4.93686691e-03
0.04            	1.24669946e-02	7.92125796e-03	8.82767567e-04	N/A	4.74167523e-03
0.04125         	1.21754601e-02	7.61055156e-03	8.36169229e-04	N/A	4.56050364e-03
0.0425          	1.18920783e-02	7.32099931e-03	7.97989111e-04	N/A	4.39220240e-03
0.04375         	1.16279863e-02	7.05003853e-03	7.72298657e-04	N/A	4.23518418e-03
0.045           	1.13888687e-02	6.79649903e-03	7.68442225e-04	N/A	4.08867616e-03
0.04625         	1.11623126e-02	6.55792507e-03	7.16580523e-04	N/A	3.95138083e-03
0.0475          	1.09405410e-02	6.33351362e-03	6.93303778e-04	N/A	3.82260767e-03
0.04875         	1.07441575e-02	6.12253103e-03	6.88506000e-04	N/A	3.70148467e-03
0.05            	1.05499147e-02	5.92395757e-03	6.56440770e-04	N/A	3.58732091e-03
0.05125         	1.03668729e-02	5.73626264e-03	6.41110431e-04	N/A	3.47994193e-03
0.0525          	1.01961937e-02	5.55812597e-03	6.30671228e-04	N/A	3.37862699e-03
0.05375         	1.00302587e-02	5.38882558e-03	6.07895964e-04	N/A	3.28290056e-03
0.055           	9.86945333e-03	5.22790789e-03	5.97926429e-04	N/A	3.19242317e-03
0.05625         	9.72281961e-03	5.07443564e-03	5.87495316e-04	N/A	3.10617173e-03
0.0575          	9.57272706e-03	4.92839155e-03	5.71075984e-04	N/A	3.02349876e-03
0.05875         	9.43328702e-03	4.78858113e-03	5.65017107e-04	N/A	2.94370764e-03
0.06            	9.29971676e-03	4.65487600e-03	5.45408403e-04	N/A	2.86758038e-03
0.06125         	9.16278799e-03	4.52827170e-03	5.47122668e-04	N/A	2.79487751e-03
0.0625          	9.03890117e-03	4.40796024e-03	5.28258576e-04	N/A	2.72541601e-03
0.06375         	8.91503120e-03	4.29268162e-03	5.25667073e-04	N/A	2.65896218e-03
0.065           	8.79016607e-03	4.18202200e-03	5.13064741e-04	N/A	2.59532759e-03
0.06625         	8.67505232e-03	4.07576524e-03	5.04031531e-04	N/A	2.53436918e-03
0.0675          	8.55828844e-03	3.97345417e-03	5.03309563e-04	N/A	2.47590711e-03
0.06875         	8.44538964e-03	3.87661759e-03	4.90056293e-04	N/A	2.41985679e-03
0.07            	8.33206770e-03	3.78423509e-03	4.91466746e-04	N/A	2.36595941e-03
0.07125         	8.23055940e-03	3.69515692e-03	4.82786574e-04	N/A	2.31421552e-03
0.0725          	8.11855027e-03	3.60959786e-03	4.76544763e-04	N/A	2.26436240e-03
0.07375         	8.01963031e-03	3.52744370e-03	4.74039031e-04	N/A	2.21639465e-03
0.075           	7.91779936e-03	3.44833072e-03	4.62882048e-04	N/A	2.17019925e-03
0.07625         	7.81362993e-03	3.37160893e-03	4.61048769e-04	N/A	2.12569586e-03
0.0775          	7.72163880e-03	3.29745249e-03	4.58343858e-04	N/A	2.08282381e-03
0.07875         	7.62360047e-03	3.22547726e-03	4.48706049e-04	N/A	2.04160949e-03
0.08            	7.52769930e-03	3.15578571e-03	4.45436580e-04	N/A	2.00181126e-03
0.08125         	7.44042434e-03	3.08733409e-03	4.40563083e-04	N/A	1.96331547e-03
0.0825          	7.34543003e-03	3.02070549e-03	4.30945213e-04	N/A	1.92607834e-03
0.08375         	7.25790729e-03	2.95586905e-03	4.35688657e-04	N/A	1.89002020e-03
0.085           	7.17144790e-03	2.89306787e-03	4.24497845e-04	N/A	1.85508623e-03
0.08625         	7.08204059e-03	2.83195020e-03	4.13959440e-04	N/A	1.82123350e-03
0.0875          	6.99993897e-03	2.77307619e-03	4.16761583e-04	N/A	1.78837511e-03
0.08875         	6.91827084e-03	2.71570499e-03	4.05897986e-04	N/A	1.75652123e-03
0.09            	6.83440486e-03	2.66002634e-03	4.05780561e-04	N/A	1.72554674e-03
0.09125         	6.75598728e-03	2.60576542e-03	4.04394115e-04	N/A	1.69553051e-03
0.0925          	6.67653302e-03	2.55307443e-03	3.90208406e-04	N/A	1.66632150e-03
0.09375         	6.59959088e-03	2.50135685e-03	3.95895321e-04	N/A	1.63794429e-03
0.095           	6.52262351e-03	2.45091776e-03	3.91165547e-04	N/A	1.61035117e-03
0.09625         	6.44919840e-03	2.40145549e-03	3.80958660e-04	N/A	1.58350949e-03
0.0975          	6.37502093e-03	2.35315055e-03	3.83583915e-04	N/A	1.55736772e-03
0.09875         	6.30012543e-03	2.30611074e-03	3.74505991e-04	N/A	1.53192078e-03
0.1             	6.23272926e-03	2.26032137e-03	3.70836793e-04	N/A	1.50715068e-03
0.10125         	6.16120920e-03	2.21566295e-03	3.71457469e-04	N/A	1.48295807e-03
0.1025          	6.09086059e-03	2.17236914e-03	3.60328569e-04	N/A	1.45927299e-03
0.10375         	6.02653856e-03	2.13026234e-03	3.60314824e-04	N/A	1.43596523e-03
0.105           	5.95814858e-03	2.08919380e-03	3.58593518e-04	N/A	1.41305397e-03
0.10625         	5.89240641e-03	2.04899066e-03	3.48758578e-04	N/A	1.39068532e-03
0.1075          	5.83069723e-03	2.01001034e-03	3.48615076e-04	N/A	1.36882557e-03
0.10875         	5.76611877e-03	1.97181159e-03	3.44262059e-04	N/A	1.34749170e-03
0.11            	5.70409321e-03	1.93450682e-03	3.40274424e-04	N/A	1.32661760e-03
0.11125         	5.64594143e-03	1.89809215e-03	3.38034123e-04	N/A	1.30625810e-03
0.1125          	5.58438136e-03	1.86264798e-03	3.31123599e-04	N/A	1.28632680e-03
0.11375         	5.52681967e-03	1.82834024e-03	3.29787769e-04	N/A	1.26684617e-03
0.115           	5.47022113e-03	1.79485632e-03	3.28173890e-04	N/A	1.24778994e-03
0.11625         	5.41317590e-03	1.76226555e-03	3.19196304e-04	N/A	1.22915256e-03
0.1175          	5.35842539e-03	1.73025983e-03	3.18748146e-04	N/A	1.21092063e-03
0.11875         	5.30442796e-03	1.69898583e-03	3.15619371e-04	N/A	1.19308402e-03
0.12            	5.25039513e-03	1.66831500e-03	3.08846417e-04	N/A	1.17566456e-03
0.12125         	5.19807170e-03	1.63816431e-03	3.09116438e-04	N/A	1.15861242e-03
0.1225          	5.14684363e-03	1.60859137e-03	3.05361482e-04	N/A	1.14190500e-03
0.12375         	5.09373408e-03	1.57953922e-03	3.00443676e-04	N/A	1.12552681e-03
0.125           	5.04459177e-03	1.55097872e-03	3.00880929e-04	N/A	1.10947056e-03
0.12625         	4.99482260e-03	1.52284679e-03	2.94981134e-04	N/A	1.09373557e-03
0.1275          	4.94365812e-03	1.49534677e-03	2.91299046e-04	N/A	1.07829885e-03
0.12875         	4.89568667e-03	1.46831613e-03	2.90866540e-04	N/A	1.06316431e-03
0.13            	4.84792563e-03	1.44178455e-03	2.85884852e-04	N/A	1.04830037e-03
0.13125         	4.79777171e-03	1.41583199e-03	2.84340666e-04	N/A	1.03372943e-03
0.1325          	4.75085860e-03	1.39022462e-03	2.83533211e-04	N/A	1.01941933e-03
0.13375         	4.70471297e-03	1.36509465e-03	2.78936809e-04	N/A	1.00537281e-03
0.135           	4.65567972e-03	1.34039842e-03	2.78278647e-04	N/A	9.91576476e-04
0.13625         	4.60939375e-03	1.31610616e-03	2.75933586e-04	N/A	9.78026028e-04
0.1375          	4.56435396e-03	1.29221245e-03	2.72451230e-04	N/A	9.64715015e-04
0.13875         	4.51599875e-03	1.26872795e-03	2.72023017e-04	N/A	9.51642047e-04
0.14            	4.47074443e-03	1.24561862e-03	2.69188375e-04	N/A	9.38803838e-04
0.14125         	4.42567570e-03	1.22292208e-03	2.65539547e-04	N/A	9.26196844e-04
0.1425          	4.37846897e-03	1.20057214e-03	2.65209818e-04	N/A	9.13799978e-04
0.14375         	4.33297638e-03	1.17847689e-03	2.63495617e-04	N/A	9.01604567e-04
0.145           	4.28849426e-03	1.15688976e-03	2.60866048e-04	N/A	8.89604669e-04
0.14625         	4.24138615e-03	1.13553826e-03	2.60518034e-04	N/A	8.77796984e-04
0.1475          	4.19543791e-03	1.11446777e-03	2.59281162e-04	N/A	8.66176975e-04
0.14875         	4.15078727e-03	1.09378250e-03	2.57921420e-04	N/A	8.54740204e-04
0.15            	4.10335154e-03	1.07342272e-03	2.57350343e-04	N/A	8.43474615e-04
0.15125         	4.05740886e-03	1.05331215e-03	2.57140950e-04	N/A	8.32369408e-04
0.1525          	4.01271555e-03	1.03350400e-03	2.65133987e-04	N/A	8.21413733e-04
0.15375         	3.96319166e-03	1.01409129e-03	2.56674799e-04	N/A	8.10606782e-04
0.155           	3.91772061e-03	9.94960062e-04	2.65091065e-04	N/A	7.99945041e-04
0.15625         	3.86982672e-03	9.76032057e-04	2.67117098e-04	N/A	7.89419618e-04
0.1575          	3.81995455e-03	9.57516612e-04	2.68997993e-04	N/A	7.79033934e-04
0.15875         	3.76968516e-03	9.39269340e-04	2.71265412e-04	N/A	7.68778123e-04
0.16            	3.71786256e-03	9.21154176e-04	2.74927800e-04	N/A	7.58648773e-04
0.16125         	3.66341174e-03	9.03404885e-04	2.81277623e-04	N/A	7.48637155e-04
0.1625          	3.60655309e-03	8.85962390e-04	2.86871009e-04	N/A	7.38728501e-04
0.16375         	3.54672734e-03	8.68651671e-04	2.93049950e-04	N/A	7.28901925e-04
0.165           	3.48285403e-03	8.51640866e-04	3.03607884e-04	N/A	7.19147516e-04
0.16625         	3.41432006e-03	8.35037786e-04	3.12212138e-04	N/A	7.09448497e-04
0.1675          	3.34206787e-03	8.18557123e-04	3.18740285e-04	N/A	6.99791756e-04
0.16875         	3.26324424e-03	8.02378727e-04	3.30754695e-04	N/A	6.90149675e-04
0.17            	3.18006626e-03	7.86682073e-04	3.39301540e-04	N/A	6.80496239e-04
0.17125         	3.09130247e-03	7.71299602e-04	3.43018758e-04	N/A	6.70801992e-04
0.1725          	2.99714294e-03	7.56255193e-04	3.49266480e-04	N/A	6.61034112e-04
0.17375         	2.90000553e-03	7.41709322e-04	3.53332704e-04	N/A	6.51173696e-04
