# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.0001          	9.99976756e-01	1.00000000e+00	9.99999716e-01	N/A	1.00000000e+00
0.0002          	8.36093138e-01	2.66222346e-01	6.24753892e-02	N/A	3.44870813e-02
0.0003          	4.74432417e-01	2.07843269e-01	4.58829522e-02	N/A	1.71559297e-02
0.0004          	2.24226406e-01	1.39378012e-01	6.69679095e-02	N/A	1.34341600e-02
0.0005          	6.45516964e-02	5.75912374e-02	1.49197763e-01	N/A	6.45428367e-03
0.0006          	8.89940738e-02	6.78383816e-02	1.80280192e-01	N/A	5.73477196e-03
0.0007          	1.13593365e-01	5.95869144e-02	1.92200353e-01	N/A	6.14537266e-03
0.0008          	1.24773323e-01	2.56910445e-02	2.35541273e-01	N/A	4.28582568e-03
0.0009          	1.28395673e-01	3.90942740e-02	9.12516294e-02	N/A	6.35034567e-03
0.001           	9.81147342e-02	4.07539990e-02	8.69933756e-02	N/A	7.35699029e-03
0.0011          	4.88158472e-02	2.35277446e-02	1.20080211e-01	N/A	4.80147916e-03
0.0012          	6.10710436e-02	1.91163246e-02	2.89880932e-01	N/A	3.41420303e-03
0.0013          	6.88471405e-02	2.40899995e-02	5.17461823e-01	N/A	4.19198076e-03
0.0014          	6.23174049e-02	1.37291590e-02	3.14506412e-01	N/A	3.45408193e-03
0.0015          	6.38412079e-02	1.16629792e-02	1.49262482e-01	N/A	3.66053658e-03
0.0016          	6.17067037e-02	1.60662266e-02	1.14372105e-01	N/A	4.51908484e-03
0.0017          	4.31021174e-02	1.25085257e-02	1.16664399e-01	N/A	4.11589178e-03
0.0018          	3.91780533e-02	6.62669626e-03	1.44015580e-01	N/A	2.73668017e-03
0.0019          	4.32783577e-02	8.66291248e-03	1.95524936e-01	N/A	3.19396531e-03
0.002           	3.93621321e-02	8.29378832e-03	2.20429711e-01	N/A	3.45544345e-03
0.0021          	3.64994447e-02	4.53993469e-03	1.86685138e-01	N/A	2.73966245e-03
0.0022          	4.08124031e-02	4.76518750e-03	1.49017274e-01	N/A	2.80562619e-03
0.0023          	3.90702675e-02	5.51419173e-03	1.32582683e-01	N/A	3.23339837e-03
0.0024          	2.98651591e-02	4.34269882e-03	1.32157524e-01	N/A	3.03995302e-03
0.0025          	2.84789255e-02	2.63748056e-03	1.39683892e-01	N/A	2.26903816e-03
0.0026          	3.14220269e-02	2.89361970e-03	1.48567323e-01	N/A	2.45054708e-03
0.0027          	3.08116401e-02	2.82172926e-03	1.54268943e-01	N/A	2.68595599e-03
0.0028          	2.77225544e-02	2.04936144e-03	1.53065333e-01	N/A	2.42122662e-03
0.0029          	2.79697517e-02	1.72222869e-03	1.45603713e-01	N/A	1.96304185e-03
0.003           	2.97285473e-02	1.88907009e-03	1.36760090e-01	N/A	2.16337391e-03
0.0031          	2.87262219e-02	1.71937622e-03	1.33964044e-01	N/A	2.30963361e-03
0.0032          	2.57348842e-02	1.52257542e-03	1.36719082e-01	N/A	2.08892665e-03
0.0033          	2.47448576e-02	1.55136788e-03	1.38096055e-01	N/A	1.69144669e-03
0.0034          	2.66630814e-02	1.49912226e-03	1.34859801e-01	N/A	1.82890428e-03
0.0035          	2.76542585e-02	1.44238793e-03	1.32192366e-01	N/A	1.96680599e-03
0.0036          	2.60988751e-02	1.51936878e-03	1.32525574e-01	N/A	1.85440310e-03
0.0037          	2.36620745e-02	1.57604200e-03	1.32168767e-01	N/A	1.50063137e-03
0.0038          	2.47057732e-02	1.54176890e-03	1.28894717e-01	N/A	1.53237108e-03
0.0039          	2.61287474e-02	1.55895790e-03	1.26099673e-01	N/A	1.67605709e-03
0.004           	2.58780658e-02	1.61415631e-03	1.27859755e-01	N/A	1.69043509e-03
0.0041          	2.33143346e-02	1.61672095e-03	1.30723887e-01	N/A	1.48534842e-03
0.0042          	2.20796750e-02	1.55559254e-03	1.30182013e-01	N/A	1.27763681e-03
0.0043          	2.34973681e-02	1.54109553e-03	1.25067776e-01	N/A	1.37232226e-03
0.0044          	2.47188543e-02	1.60705389e-03	1.20776248e-01	N/A	1.47560428e-03
0.0045          	2.42168892e-02	1.62204265e-03	1.19547559e-01	N/A	1.45335493e-03
0.0046          	2.16315536e-02	1.57532068e-03	1.19595977e-01	N/A	1.26410637e-03
0.0047          	2.02971315e-02	1.48955913e-03	1.18257779e-01	N/A	1.10214098e-03
0.0048          	2.13618210e-02	1.48053576e-03	1.15021312e-01	N/A	1.17218541e-03
0.0049          	2.24726271e-02	1.53883235e-03	1.13188903e-01	N/A	1.26083547e-03
0.005           	2.23545495e-02	1.54934055e-03	1.14526220e-01	N/A	1.26707910e-03
0.0051          	2.05019457e-02	1.49410910e-03	1.16423692e-01	N/A	1.14471785e-03
0.0052          	1.84267005e-02	1.41746367e-03	1.16367444e-01	N/A	9.65123555e-04
0.0053          	1.87460148e-02	1.36888013e-03	1.12840345e-01	N/A	9.53068058e-04
0.0054          	1.98560948e-02	1.40498466e-03	1.07934311e-01	N/A	1.03022472e-03
0.0055          	2.03776099e-02	1.43449661e-03	1.05003445e-01	N/A	1.07706853e-03
0.0056          	1.96078299e-02	1.40172125e-03	1.04263647e-01	N/A	1.03850205e-03
0.0057          	1.75697082e-02	1.33781593e-03	1.03815984e-01	N/A	9.08119807e-04
0.0058          	1.61111084e-02	1.26354609e-03	1.02293921e-01	N/A	7.83220348e-04
0.0059          	1.65023811e-02	1.24587728e-03	9.93306499e-02	N/A	7.91501431e-04
0.006           	1.73512447e-02	1.27538074e-03	9.65120507e-02	N/A	8.50296270e-04
0.0061          	1.77097286e-02	1.28882993e-03	9.56725631e-02	N/A	8.83454474e-04
0.0062          	1.71096481e-02	1.25217952e-03	9.65324562e-02	N/A	8.54984844e-04
0.0063          	1.55581594e-02	1.19065002e-03	9.70379808e-02	N/A	7.57863188e-04
0.0064          	1.41356496e-02	1.12784742e-03	9.59857931e-02	N/A	6.49611364e-04
0.0065          	1.41486030e-02	1.10600240e-03	9.29099300e-02	N/A	6.27118867e-04
0.0066          	1.47774628e-02	1.12088903e-03	8.90529084e-02	N/A	6.67806705e-04
0.0067          	1.52031084e-02	1.13239253e-03	8.60169512e-02	N/A	7.01677487e-04
0.0068          	1.49802579e-02	1.11048971e-03	8.47826179e-02	N/A	6.99009455e-04
0.0069          	1.39776294e-02	1.05689750e-03	8.42108530e-02	N/A	6.45721416e-04
0.007           	1.25704687e-02	1.00278873e-03	8.32494981e-02	N/A	5.58033622e-04
0.0071          	1.18007105e-02	9.65403516e-04	8.14165091e-02	N/A	4.95192150e-04
0.0072          	1.20036275e-02	9.60643193e-04	7.88900806e-02	N/A	4.99283646e-04
0.0073          	1.24537044e-02	9.71604956e-04	7.63918139e-02	N/A	5.30224606e-04
0.0074          	1.26695817e-02	9.69196795e-04	7.49004244e-02	N/A	5.50471439e-04
0.0075          	1.23972914e-02	9.40830825e-04	7.47292886e-02	N/A	5.41342512e-04
0.0076          	1.15834202e-02	8.91458350e-04	7.47172619e-02	N/A	4.98223210e-04
0.0077          	1.05365582e-02	8.48836377e-04	7.40243667e-02	N/A	4.32630032e-04
0.0078          	9.89350159e-03	8.20907173e-04	7.23456643e-02	N/A	3.83539387e-04
0.0079          	9.96950059e-03	8.15307114e-04	6.98150053e-02	N/A	3.80602807e-04
0.008           	1.02537813e-02	8.19661000e-04	6.70227437e-02	N/A	4.01858237e-04
0.0081          	1.04200232e-02	8.15058484e-04	6.49047836e-02	N/A	4.18537190e-04
0.0082          	1.02606763e-02	7.92726272e-04	6.36848928e-02	N/A	4.16593933e-04
0.0083          	9.70988142e-03	7.53034972e-04	6.29852916e-02	N/A	3.91460104e-04
0.0084          	8.91080104e-03	7.15616587e-04	6.21756324e-02	N/A	3.46663642e-04
0.0085          	8.20908280e-03	6.89696966e-04	6.09422381e-02	N/A	3.03170748e-04
0.0086          	7.99233324e-03	6.77435834e-04	5.91949876e-02	N/A	2.82324859e-04
0.0087          	8.12374027e-03	6.75212995e-04	5.72267814e-02	N/A	2.91869472e-04
0.0088          	8.28653297e-03	6.74742035e-04	5.53821597e-02	N/A	3.06053962e-04
0.0089          	8.31837159e-03	6.62555378e-04	5.41730298e-02	N/A	3.14073460e-04
0.009           	8.10404099e-03	6.37717699e-04	5.36015128e-02	N/A	3.07560182e-04
0.0091          	7.64646210e-03	6.04265362e-04	5.31978928e-02	N/A	2.85020502e-04
0.0092          	7.06655636e-03	5.77961754e-04	5.25405849e-02	N/A	2.51484721e-04
0.0093          	6.56907937e-03	5.58930269e-04	5.14298439e-02	N/A	2.20981155e-04
0.0094          	6.40473207e-03	5.50056216e-04	4.98315229e-02	N/A	2.07788375e-04
0.0095          	6.46728495e-03	5.46643638e-04	4.80082687e-02	N/A	2.14148515e-04
0.0096          	6.56588485e-03	5.43398069e-04	4.61528381e-02	N/A	2.24327473e-04
0.0097          	6.56072760e-03	5.32215100e-04	4.47703529e-02	N/A	2.29449613e-04
0.0098          	6.40087857e-03	5.12080774e-04	4.38925862e-02	N/A	2.25642966e-04
0.0099          	6.08035478e-03	4.85910203e-04	4.32123080e-02	N/A	2.11265069e-04
0.01            	5.65569294e-03	4.63951395e-04	4.25644528e-02	N/A	1.88380698e-04
0.0101          	5.23683762e-03	4.48233815e-04	4.16746174e-02	N/A	1.65887499e-04
0.0102          	5.00417780e-03	4.38258081e-04	4.05455342e-02	N/A	1.51297721e-04
0.0103          	4.98735855e-03	4.32827432e-04	3.92202429e-02	N/A	1.51473004e-04
0.0104          	5.04180040e-03	4.30287575e-04	3.77711134e-02	N/A	1.57864842e-04
0.0105          	5.06723066e-03	4.23506777e-04	3.65451061e-02	N/A	1.63289459e-04
0.0106          	5.00771008e-03	4.10404646e-04	3.57207016e-02	N/A	1.64157184e-04
0.0107          	4.84190757e-03	3.92155710e-04	3.51697407e-02	N/A	1.58319311e-04
0.0108          	4.57906406e-03	3.72353915e-04	3.46727210e-02	N/A	1.45594037e-04
0.0109          	4.26145966e-03	3.57561148e-04	3.41018334e-02	N/A	1.29086802e-04
0.011           	3.97525841e-03	3.46405818e-04	3.33280287e-02	N/A	1.14439887e-04
0.0111          	3.83309853e-03	3.39442538e-04	3.23081334e-02	N/A	1.06115951e-04
0.0112          	3.81203259e-03	3.34629682e-04	3.11758826e-02	N/A	1.07309440e-04
0.0113          	3.83974088e-03	3.31480278e-04	2.99591706e-02	N/A	1.11624958e-04
0.0114          	3.83906188e-03	3.25064646e-04	2.88681331e-02	N/A	1.14929094e-04
0.0115          	3.78444351e-03	3.14367474e-04	2.80609531e-02	N/A	1.15147326e-04
0.0116          	3.66098892e-03	3.00341286e-04	2.75165260e-02	N/A	1.10952655e-04
0.0117          	3.47035312e-03	2.85573549e-04	2.70408798e-02	N/A	1.02363359e-04
0.0118          	3.23831155e-03	2.73638716e-04	2.65232607e-02	N/A	9.13997152e-05
0.0119          	3.01997454e-03	2.64832618e-04	2.58921010e-02	N/A	8.10299897e-05
0.012           	2.88643671e-03	2.58923718e-04	2.51746978e-02	N/A	7.42499411e-05
0.0121          	2.84471203e-03	2.54279087e-04	2.43461748e-02	N/A	7.32988131e-05
0.0122          	2.84322824e-03	2.50994616e-04	2.34407840e-02	N/A	7.58544931e-05
0.0123          	2.84568470e-03	2.46838122e-04	2.25552835e-02	N/A	7.84332765e-05
0.0124          	2.81959475e-03	2.39656112e-04	2.18688508e-02	N/A	7.94449714e-05
0.0125          	2.74976326e-03	2.30125898e-04	2.13500947e-02	N/A	7.79274272e-05
0.0126          	2.63835992e-03	2.19429386e-04	2.09637308e-02	N/A	7.35443642e-05
0.0127          	2.48851274e-03	2.08716616e-04	2.05779926e-02	N/A	6.67160965e-05
0.0128          	2.32650665e-03	2.00885129e-04	2.01551971e-02	N/A	5.93157705e-05
0.0129          	2.18563744e-03	1.95316675e-04	1.96250444e-02	N/A	5.30021155e-05
0.013           	2.10835114e-03	1.91323428e-04	1.90065208e-02	N/A	4.95448307e-05
0.0131          	2.08162073e-03	1.87722861e-04	1.83341659e-02	N/A	4.98951509e-05
0.0132          	2.07249265e-03	1.84666017e-04	1.76176606e-02	N/A	5.16464943e-05
0.0133          	2.06679870e-03	1.81223340e-04	1.69440912e-02	N/A	5.31220944e-05
0.0134          	2.03935127e-03	1.75311298e-04	1.63846494e-02	N/A	5.34516571e-05
0.0135          	1.98534958e-03	1.68273550e-04	1.59476726e-02	N/A	5.21853219e-05
0.0136          	1.90217984e-03	1.60281621e-04	1.56339921e-02	N/A	4.91272533e-05
0.0137          	1.79874664e-03	1.52593706e-04	1.52952825e-02	N/A	4.45962246e-05
0.0138          	1.68471728e-03	1.46813883e-04	1.49556685e-02	N/A	3.97527884e-05
0.0139          	1.58273400e-03	1.42456830e-04	1.45597486e-02	N/A	3.55351872e-05
0.014           	1.51750283e-03	1.39435430e-04	1.41283117e-02	N/A	3.29591523e-05
0.0141          	1.48949277e-03	1.36599122e-04	1.36487031e-02	N/A	3.28887727e-05
0.0142          	1.47752073e-03	1.34147928e-04	1.31237940e-02	N/A	3.38325923e-05
0.0143          	1.47037657e-03	1.31318545e-04	1.25941649e-02	N/A	3.48210389e-05
0.0144          	1.45396314e-03	1.27537011e-04	1.21539431e-02	N/A	3.52428812e-05
0.0145          	1.42159089e-03	1.22860199e-04	1.18159041e-02	N/A	3.47715880e-05
0.0146          	1.37116390e-03	1.17361482e-04	1.15269887e-02	N/A	3.31805468e-05
0.0147          	1.30445455e-03	1.11628704e-04	1.12826558e-02	N/A	3.06100981e-05
0.0148          	1.23030494e-03	1.06782375e-04	1.10490924e-02	N/A	2.75215431e-05
0.0149          	1.15431214e-03	1.02924139e-04	1.07597519e-02	N/A	2.44540110e-05
0.015           	1.09315852e-03	1.00418914e-04	1.04536949e-02	N/A	2.21812945e-05
0.0151          	1.05681197e-03	9.82721736e-05	1.01057934e-02	N/A	2.11018605e-05
0.0152          	1.03877658e-03	9.61840871e-05	9.74954599e-03	N/A	2.14060708e-05
0.0153          	1.03017363e-03	9.43379654e-05	9.35024108e-03	N/A	2.20543020e-05
0.0154          	1.02086676e-03	9.18900539e-05	8.96831421e-03	N/A	2.25770898e-05
0.0155          	1.00562293e-03	8.90764645e-05	8.66204609e-03	N/A	2.27240193e-05
0.0156          	9.79582307e-04	8.56256412e-05	8.38978941e-03	N/A	2.22295707e-05
0.0157          	9.43185650e-04	8.17732717e-05	8.18748955e-03	N/A	2.11206330e-05
0.0158          	8.97840328e-04	7.78080840e-05	8.00089067e-03	N/A	1.94121201e-05
0.0159          	8.46359928e-04	7.43602924e-05	7.82136376e-03	N/A	1.74305548e-05
0.016           	7.95985696e-04	7.17595459e-05	7.60952994e-03	N/A	1.55497387e-05
0.0161          	7.54161007e-04	6.99258595e-05	7.39291472e-03	N/A	1.40663580e-05
0.0162          	7.26569340e-04	6.83730929e-05	7.15012279e-03	N/A	1.33611144e-05
0.0163          	7.12642788e-04	6.68683773e-05	6.88999831e-03	N/A	1.34893870e-05
0.0164          	7.03270115e-04	6.54911081e-05	6.62254849e-03	N/A	1.38664551e-05
0.0165          	6.94889982e-04	6.37429168e-05	6.34439081e-03	N/A	1.42125005e-05
0.0166          	6.84426480e-04	6.17953893e-05	6.10755346e-03	N/A	1.43405469e-05
0.0167          	6.68926075e-04	5.95036830e-05	5.91684954e-03	N/A	1.41351913e-05
0.0168          	6.46787721e-04	5.69146981e-05	5.75348378e-03	N/A	1.35332408e-05
0.0169          	6.17274601e-04	5.43046952e-05	5.61248149e-03	N/A	1.25720140e-05
0.017           	5.85104222e-04	5.17148901e-05	5.47778436e-03	N/A	1.13519126e-05
0.0171          	5.51365512e-04	4.96544196e-05	5.34232932e-03	N/A	1.01559596e-05
0.0172          	5.20950371e-04	4.81592213e-05	5.18216544e-03	N/A	9.10821503e-06
0.0173          	4.97326488e-04	4.70204015e-05	5.02309279e-03	N/A	8.38628946e-06
0.0174          	4.82489011e-04	4.59719339e-05	4.85128175e-03	N/A	8.22828382e-06
0.0175          	4.73246937e-04	4.49271753e-05	4.65851363e-03	N/A	8.41092682e-06
0.0176          	4.66734115e-04	4.38434535e-05	4.47450678e-03	N/A	8.64951839e-06
0.0177          	4.59791614e-04	4.25240939e-05	4.28002663e-03	N/A	8.81405991e-06
0.0178          	4.50982634e-04	4.11217186e-05	4.12873426e-03	N/A	8.81325931e-06
0.0179          	4.39320614e-04	3.95649336e-05	3.99473403e-03	N/A	8.61595210e-06
0.018           	4.23019125e-04	3.77818106e-05	3.88108766e-03	N/A	8.19970386e-06
0.0181          	4.04349994e-04	3.60597000e-05	3.78976827e-03	N/A	7.56291137e-06
0.0182          	3.82710691e-04	3.44104233e-05	3.68516623e-03	N/A	6.82642578e-06
0.0183          	3.61497784e-04	3.29480145e-05	3.59687961e-03	N/A	6.09232941e-06
0.0184          	3.41905012e-04	3.20614939e-05	3.47981306e-03	N/A	5.47838203e-06
0.0185          	3.26168657e-04	3.11930519e-05	3.37905672e-03	N/A	5.04289098e-06
0.0186          	3.16363448e-04	3.05225030e-05	3.25227225e-03	N/A	4.95805410e-06
0.0187          	3.09055446e-04	2.97688545e-05	3.13126392e-03	N/A	5.06472386e-06
0.0188          	3.03809609e-04	2.90277399e-05	3.00219459e-03	N/A	5.20024363e-06
0.0189          	2.98922499e-04	2.81504123e-05	2.87488943e-03	N/A	5.30363291e-06
0.019           	2.93115415e-04	2.71755988e-05	2.76524065e-03	N/A	5.30798838e-06
0.0191          	2.85432415e-04	2.61847507e-05	2.67144401e-03	N/A	5.22014362e-06
0.0192          	2.75755498e-04	2.50265101e-05	2.59386260e-03	N/A	4.98931312e-06
0.0193          	2.64019921e-04	2.39720471e-05	2.51928575e-03	N/A	4.64614285e-06
0.0194          	2.50888805e-04	2.27708769e-05	2.45987009e-03	N/A	4.22140690e-06
0.0195          	2.37494916e-04	2.18223327e-05	2.38630470e-03	N/A	3.78280443e-06
0.0196          	2.24469778e-04	2.10720718e-05	2.32389387e-03	N/A	3.38066710e-06
0.0197          	2.13592913e-04	2.04943814e-05	2.24606687e-03	N/A	3.05264126e-06
0.0198          	2.05281716e-04	1.99974867e-05	2.17047640e-03	N/A	2.90310314e-06
0.0199          	1.99450404e-04	1.94918601e-05	2.08842521e-03	N/A	2.93021850e-06
0.02            	1.95219502e-04	1.90280244e-05	2.00645627e-03	N/A	3.01564557e-06
0.0201          	1.91569195e-04	1.84353788e-05	1.91907436e-03	N/A	3.08522195e-06
0.0202          	1.87628364e-04	1.78639015e-05	1.83897209e-03	N/A	3.12873005e-06
0.0203          	1.83612174e-04	1.72019084e-05	1.76990587e-03	N/A	3.11052369e-06
0.0204          	1.77905665e-04	1.65507649e-05	1.71643855e-03	N/A	3.02385655e-06
0.0205          	1.71572363e-04	1.58055232e-05	1.65695255e-03	N/A	2.87389636e-06
0.0206          	1.63996503e-04	1.51243287e-05	1.61559489e-03	N/A	2.65295550e-06
0.0207          	1.55871454e-04	1.43921176e-05	1.57133544e-03	N/A	2.40567053e-06
0.0208          	1.47605482e-04	1.37799770e-05	1.52500819e-03	N/A	2.15253502e-06
0.0209          	1.39762150e-04	1.33226633e-05	1.48135304e-03	N/A	1.91901199e-06
